Title,Link,Description,Publication Date,Category,New_description
Revanth Reddy to present FTCCI awards on July 5,https://www.thehindu.com/news/cities/Hyderabad/revanth-reddy-to-present-ftcci-awards-on-july-5/article68286065.ece,,"Fri, 14 Jun 2024 01:10:46 +0530",Hyderabad,Revanth Reddy to present FTCCI awards on July 5
Kishan Reddy and Bandi Sanjay take charge as Central Ministers  ,https://www.thehindu.com/news/national/telangana/kishan-reddy-and-bandi-sanjay-take-charge-as-central-ministers/article68284772.ece,,"Fri, 14 Jun 2024 01:08:43 +0530",Telangana,Kishan Reddy and Bandi Sanjay take charge as Central Ministers  
"Focus on innovation, learning, health critical for India to become superpower, says Dinesh Gundu Rao ",https://www.thehindu.com/news/cities/bangalore/focus-on-innovation-learning-health-critical-for-india-to-become-superpower-says-dinesh-gundu-rao/article68286449.ece,,"Fri, 14 Jun 2024 01:08:14 +0530",Bengaluru,"Focus on innovation, learning, health critical for India to become superpower, says Dinesh Gundu Rao "
Railway Minister expresses concern over unauthorised persons travelling in reserved coaches  ,https://www.thehindu.com/news/national/railway-minister-expresses-concern-over-unauthorised-persons-travelling-in-reserved-coaches/article68286403.ece,Instructs General Managers to conduct intensive drive involving RPF personnel to curb the menace ,"Fri, 14 Jun 2024 01:07:22 +0530",India,Instructs General Managers to conduct intensive drive involving RPF personnel to curb the menace 
"State govt. to set up Mahila Shakti Canteen Services, to be managed by women SHGs",https://www.thehindu.com/news/national/telangana/state-govt-to-set-up-mahila-shakti-canteen-services-to-be-managed-by-women-shgs/article68285106.ece,,"Fri, 14 Jun 2024 01:05:51 +0530",Telangana,"State govt. to set up Mahila Shakti Canteen Services, to be managed by women SHGs"
Newly elected MLCs take oath ,https://www.thehindu.com/news/national/telangana/newly-elected-mlcs-take-oath/article68285066.ece,,"Fri, 14 Jun 2024 01:04:31 +0530",Telangana,Newly elected MLCs take oath 
Group-I exam preliminary answer key released,https://www.thehindu.com/news/national/telangana/group-i-exam-preliminary-answer-key-released/article68285012.ece,,"Fri, 14 Jun 2024 01:03:11 +0530",Telangana,Group-I exam preliminary answer key released
Greater Cochin Development Authority’s Mundamveli apartment project followed PEB technology,https://www.thehindu.com/news/cities/Kochi/greater-cochin-development-authoritys-mundamveli-apartment-project-followed-peb-technology/article68284376.ece,,"Fri, 14 Jun 2024 00:58:26 +0530",Kochi,Greater Cochin Development Authority’s Mundamveli apartment project followed PEB technology
"Will review U.P. Lok Sabha outcome, State BJP leadership says ",https://www.thehindu.com/news/national/uttar-pradesh/will-review-up-lok-sabha-outcome-state-bjp-leadership-says/article68286430.ece,The U.P. unit of the BJP readies itself for an assessment amid rumours of the establishment of special teams to evaluate the Lok Sabha election results,"Fri, 14 Jun 2024 00:45:21 +0530",Uttar Pradesh,The U.P. unit of the BJP readies itself for an assessment amid rumours of the establishment of special teams to evaluate the Lok Sabha election results
Techie mother with twins jumps into Ameenpur lake ,https://www.thehindu.com/news/national/telangana/techie-mother-with-twins-jumps-into-ameenpur-lake/article68286239.ece,,"Fri, 14 Jun 2024 00:45:10 +0530",Telangana,Techie mother with twins jumps into Ameenpur lake 
Inspector of Economic Offences Wing caught with  ₹3 lakh ‘bribe’ amount,https://www.thehindu.com/news/national/telangana/inspector-of-economic-offences-wing-caught-with-3-lakh-bribe-amount/article68285941.ece,,"Fri, 14 Jun 2024 00:43:00 +0530",Telangana,Inspector of Economic Offences Wing caught with  ₹3 lakh ‘bribe’ amount
HMR and L&TMRH put monsoon action plan in place  ,https://www.thehindu.com/news/national/telangana/hmr-and-ltmrh-put-monsoon-action-plan-in-place/article68285903.ece,,"Fri, 14 Jun 2024 00:36:04 +0530",Telangana,HMR and L&TMRH put monsoon action plan in place  
BJP fields Congress turncoat Kamlesh Shah for bypoll in Chhindwara’s Amarwara Assembly seat,https://www.thehindu.com/news/national/madhya-pradesh/bjp-fields-congress-turncoat-kamlesh-shah-for-bypoll-in-chhindwaras-amarwara-assembly-seat/article68286617.ece,The by-election was necessitated after Mr. Shah quit the Congress and gave up his legislative membership to join the BJP,"Fri, 14 Jun 2024 00:33:51 +0530",Madhya Pradesh,The by-election was necessitated after Mr. Shah quit the Congress and gave up his legislative membership to join the BJP
"Narcotics seizures on the rise, 119 cases booked in May ",https://www.thehindu.com/news/national/telangana/narcotics-seizures-on-the-rise-119-cases-booked-in-may/article68285684.ece,,"Fri, 14 Jun 2024 00:31:30 +0530",Telangana,"Narcotics seizures on the rise, 119 cases booked in May "
