Title,Link,Description,Publication Date,Category,New_description
Suresh Gopi: The Saffron star,https://www.thehindu.com/news/national/suresh-gopi-the-saffron-star/article68267492.ece,The actor-turned politician made history in Kerala by getting elected as the first BJP Lok Sabha member from the State,"Sun, 09 Jun 2024 03:12:00 +0530",India,The actor-turned politician made history in Kerala by getting elected as the first BJP Lok Sabha member from the State
Geniben Thakor: The giant killer,https://www.thehindu.com/news/national/geniben-thakor-the-giant-killer/article68267477.ece,The Congress leader denied the BJP a hat-trick clean sweep of Gujarat by winning the Banaskantha constituency,"Sun, 09 Jun 2024 02:49:00 +0530",India,The Congress leader denied the BJP a hat-trick clean sweep of Gujarat by winning the Banaskantha constituency
Chandrashekhar Azad: The Dalit commander,https://www.thehindu.com/news/national/chandrashekhar-azad-the-dalit-commander/article68267463.ece,"The leader of the Azad Samaj Party, who won from U.P.’s Nagina, says his work will be for Dalits, tribals, Muslims, youth and women, and it will always be against injustice","Sun, 09 Jun 2024 02:31:00 +0530",India,"The leader of the Azad Samaj Party, who won from U.P.’s Nagina, says his work will be for Dalits, tribals, Muslims, youth and women, and it will always be against injustice"
INDIA bloc leaders to jointly decide on attending PM’s oath-taking ceremony ,https://www.thehindu.com/news/national/india-bloc-leaders-to-jointly-decide-on-attending-pms-oath-taking-ceremony/article68267691.ece,"Sources confirm to The Hindu that by June 8 evening invites were sent out to prominent Opposition leaders, including those from the Congress","Sun, 09 Jun 2024 02:19:50 +0530",India,"Sources confirm to The Hindu that by June 8 evening invites were sent out to prominent Opposition leaders, including those from the Congress"
N. Chandrababu Naidu: Return of the kingmaker ,https://www.thehindu.com/news/national/n-chandrababu-naidu-return-of-the-kingmaker/article68267454.ece,The ‘CEO of Andhra Pradesh’ is back in power in the State with a resounding mandate and has emerged as a key player at the Centre as his Telugu Desam Party is the second largest constituent in the BJP-led National Democratic Alliance,"Sun, 09 Jun 2024 02:09:00 +0530",India,The ‘CEO of Andhra Pradesh’ is back in power in the State with a resounding mandate and has emerged as a key player at the Centre as his Telugu Desam Party is the second largest constituent in the BJP-led National Democratic Alliance
Ghulam Nabi Azad’s DPAP fails to open its account in maiden polls in J&K,https://www.thehindu.com/news/national/jammu-and-kashmir/ghulam-nabi-azads-dpap-fails-to-open-its-account-in-maiden-polls-in-jk/article68266498.ece,"The DPAP’s candidates only managed to bag 80,264 votes from the three Lok Sabha constituencies it contested in Jammu and Kashmir, which has around 54 lakh voters","Sun, 09 Jun 2024 01:40:00 +0530",Jammu and Kashmir,"The DPAP’s candidates only managed to bag 80,264 votes from the three Lok Sabha constituencies it contested in Jammu and Kashmir, which has around 54 lakh voters"
Prajwal Revanna case: What survivors expect from the State govt ,https://www.thehindu.com/news/national/karnataka/prajwal-revanna-case-what-survivors-expect-from-the-state-govt/article68266605.ece,The primary concern that survivors raised was secrecy,"Sun, 09 Jun 2024 01:36:49 +0530",Karnataka,The primary concern that survivors raised was secrecy
SIT traces donor involved in Kerala organ trade case,https://www.thehindu.com/news/cities/Kochi/sit-traces-donor-involved-in-kerala-organ-trade-case/article68267006.ece,,"Sun, 09 Jun 2024 01:20:02 +0530",Kochi,SIT traces donor involved in Kerala organ trade case
"Lok Sabha election result signifies negative politics ending, verdict belongs to PDA: Akhilesh Yadav",https://www.thehindu.com/news/national/uttar-pradesh/lok-sabha-election-result-signifies-negative-politics-ending-verdict-belongs-to-pda-akhilesh-yadav/article68266964.ece,"The Samajwadi Party chief, who won from Kannauj Lok Sabha seat and is likely to resign from the U.P. Leader of Opposition post, says the SP has emerged as a positive movement of social solidarity ","Sun, 09 Jun 2024 01:16:55 +0530",Uttar Pradesh,"The Samajwadi Party chief, who won from Kannauj Lok Sabha seat and is likely to resign from the U.P. Leader of Opposition post, says the SP has emerged as a positive movement of social solidarity "
ICU sexual assault case: new probe report says gynaecologist did not record survivor’s statements fully  ,https://www.thehindu.com/news/cities/kozhikode/icu-sexual-assault-case-new-probe-report-says-gynaecologist-did-not-record-survivors-statements-fully/article68267060.ece,,"Sun, 09 Jun 2024 01:16:32 +0530",Kozhikode,ICU sexual assault case: new probe report says gynaecologist did not record survivor’s statements fully  
"After 40/40, delving into the nitty-gritty",https://www.thehindu.com/news/national/tamil-nadu/after-4040-delving-into-the-nitty-gritty/article68267689.ece,"For the first time in a Lok Sabha election, the AIADMK forfeited deposits in seven constituencies. For the ruling DMK, the verdict is seen as a popular endorsement of the functioning of its three-year government under Chief Minister M.K. Stalin. The outcome indicates that the BJP, whose Hindutva ideology has all along been considered alien to the political ethos of Tamil Nadu, may emerge as a major force in near future","Sun, 09 Jun 2024 01:09:10 +0530",Tamil Nadu,"For the first time in a Lok Sabha election, the AIADMK forfeited deposits in seven constituencies. For the ruling DMK, the verdict is seen as a popular endorsement of the functioning of its three-year government under Chief Minister M.K. Stalin. The outcome indicates that the BJP, whose Hindutva ideology has all along been considered alien to the political ethos of Tamil Nadu, may emerge as a major force in near future"
