Title,Link,Description,Publication Date,Category
"Job creation is key for advancement of the country, says Rolls-Royce India president ",https://www.thehindu.com/news/cities/Coimbatore/job-creation-is-key-for-advancement-of-the-country-says-rolls-royce-india-president/article68263937.ece,"Most of the western world wants to come to India to set up manufacturing capacities because of the skill capability available in the country, says Kishore Jayaraman","Fri, 07 Jun 2024 20:47:45 +0530",Coimbatore
"RBI keeps repo rate unchanged to control inflation, ups this year’s GDP growth forecast to 7.2%",https://www.thehindu.com/business/Economy/rbi-keeps-repo-rate-unchanged-at-65-percent/article68262056.ece,"The RBI’s MPC also decided to maintain the ‘withdrawal of accomodation’ policy stance to keep inflation moving downwards to its 4% target; MPC members voted 4-2 to keep the repo rate unchanged, with dissenters seeking a 25 bps cut","Fri, 07 Jun 2024 10:17:32 +0530",Economy
Food price rise likely to have escalated in May ,https://www.thehindu.com/business/Economy/food-price-rise-likely-to-have-escalated-in-may/article68259490.ece,Crisil’s food plate cost tracker finds vegetarian meal costs surged 9% in May compared with 8% in April when official retail food inflation was 8.7% ,"Thu, 06 Jun 2024 20:27:47 +0530",Economy
Netherlands emerges as India's 3rd largest export destination in 2023-24,https://www.thehindu.com/business/Economy/netherlands-emerges-as-indias-3rd-largest-export-destination-in-2023-24/article68252728.ece,"The main commodities which registered healthy exports growth in the Netherlands include petroleum products ($14.29 billion), electrical goods, chemicals, and pharmaceuticals in the last fiscal","Tue, 04 Jun 2024 23:41:56 +0530",Economy
Financial markets were given artificial booster dose by exit polls: Congress,https://www.thehindu.com/elections/lok-sabha/election-results-2024-exit-polls-gave-financial-markets-an-artificial-booster-dose/article68250234.ece,"Congress criticizes artificial market boost from exit polls, emphasizes commitment to healthy financial markets and economic fundamentals","Tue, 04 Jun 2024 15:40:07 +0530",Lok Sabha Elections
"State Bank of India's market cap crosses ₹8 lakh crore, stocks surge to all-time high",https://www.thehindu.com/business/Economy/state-bank-of-indias-market-cap-crosses-8-lakh-crore-stocks-surge-to-all-time-high/article68246142.ece,"State Bank of India’s market cap surpasses ₹8 lakh crore, reflecting strong performance and investor confidence in banking sector","Mon, 03 Jun 2024 17:41:22 +0530",Economy
"If re-elected, BJP to focus on economic reforms",https://www.thehindu.com/business/Economy/modi-30-likely-to-focus-on-economic-reforms/article68245781.ece,"If voted back to power, the Modi government is likely to focus on reforms that can help the manufacturing sector grow","Mon, 03 Jun 2024 13:47:02 +0530",Economy
Indian power plants keep up with the demand despite heatwave,https://www.thehindu.com/business/Economy/indian-power-plants-keep-up-with-the-demand-despite-heatwave/article68245685.ece,Controllers seem to have been scheduling too much generation to ensure they had an extra margin in case the demand was higher than predicted,"Mon, 03 Jun 2024 13:06:45 +0530",Economy
"Heatwave and poll effects drag factory output, new orders to 3-month low in May",https://www.thehindu.com/business/Economy/heatwave-and-poll-effects-drag-factory-output-new-orders-to-3-month-low-in-may/article68245520.ece,"Expecting buoyancy ahead, firms surveyed for the HSBC India Manufacturing PMI escalated hiring amid a sharp rise in input costs","Mon, 03 Jun 2024 11:27:23 +0530",Economy
Does inequality lead to growth? | Explained,https://www.thehindu.com/news/national/does-inequality-lead-to-growth-explained/article68244378.ece,"Several argue that inequality harms democratic processes. Some inequality, others argue, is actually beneficial, since it acts as an incentive to entrepreneurs to start businesses. This view is mistaken, for inequality can have deleterious economic effects","Sun, 02 Jun 2024 23:08:52 +0530",India
